영화제목,에그지수,성별,연령별,감독/등장인물,관람포인트,실관람평개수
선물,0.0,,,"감독 김영준, 권오중, 신현준, 허준호",스토리가 탄탄하고 몰입하여 보게 되는 영화,0
마트,0.0,,,"감독 피터 시걸, 스티브 카렐, 앤 해서웨이",배우연기가 메소드급인 몰입하여 보게 되는 영화,181
몸값,86.0,"성별예매 분포: 남 48%, 여 52%","연령별예매 분포: 10대 0%, 20대 31%, 30대 32%, 40대 21%, 50대 16%",,배우연기가 메소드급인 몰입하여 보게 되는 영화,108
펭귄,0.0,,,"감독 뤽 자케, 모건 프리먼, 이금희, 샤를스 베를링, 쥴 쉬트릭, 로만느 보링거",스토리가 탄탄하고 몰입하여 보게 되는 영화,0
폴라,0.0,,,"감독 로버트 저메키스, 톰 행크스, 에디 디즌, 노나 M. 게이, 조쉬 허처슨",스토리가 탄탄하고 몰입하여 보게 되는 영화,331
미스 리틀 선샤인,0.0,,,"감독 조나단 데이턴, 감독 발레리 페리스, 스티브 카렐, 그렉 키니어, 토니 콜렛",배우연기가 메소드급인 감동적인 영화,0
파랑,0.0,,,"감독 전윤수, 이순재, 김해숙, 송혜교, 차태현",영상미가 뛰어나고 감동적인 영화,243
로맨틱 홀리데이,0.0,,,"감독 낸시 마이어스, 카메론 디아즈, 잭 블랙, 케이트 윈슬렛, 주드 로",배우연기가 메소드급인 몰입하여 보게 되는 영화,408
중천,0.0,,,"감독 조동오, 김영호(1), 허준호, 김태희, 박상욱",영상미가 뛰어나고 몰입하여 보게 되는 영화,645
미드나잇 선,95.0,,"연령별예매 분포: 10대 6%, 20대 52%, 30대 21%, 40대 13%, 50대 8%","감독 스콧 스피어, 롭 리글, 패트릭 슈왈제네거, 벨라 손, 퀸 쉐퍼드",배우연기가 메소드급인 감동적인 영화,0
좀비,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 장윤정, 감독 홍영근, 감독 오영두, 감독 류훈",배우연기가 메소드급인 몰입하여 보게 되는 영화,17
사도,91.0,,,"감독 이준익, 전혜진, 박원상, 유아인, 송강호",,0
페르소나,0.0,"성별예매 분포: 남 62%, 여 38%","연령별예매 분포: 10대 0%, 20대 15%, 30대 21%, 40대 33%, 50대 30%","감독 정형석, 방은희, 전혜연, 정형석, 박호산",배우연기가 메소드급인 몰입하여 보게 되는 영화,67
데자뷰,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 토니 스코트, 제임스 카비젤, 덴젤 워싱턴",배우연기가 메소드급인 몰입하여 보게 되는 영화,464
신의 손,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%",,,0
조용한 세상,0.0,,,"감독 조의석, 김상경, 박용우",스토리가 탄탄하고 현실감 있는 영화,120
해피 피트,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 조지 밀러, 로빈 윌리엄스, 일라이저 우드, 브리트니 머피, 니콜 키드먼",스토리가 탄탄하고 유쾌한 영화,160
빠지다,89.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 0%, 20대 26%, 30대 36%, 40대 24%, 50대 14%","감독 멜라니 로랑, 마리 디나노드, 질 를르슈, 마리아 발베르드, 노에미 메를랑",배우연기가 메소드급인 몰입하여 보게 되는 영화,199
각성,84.0,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 1%, 20대 3%, 30대 41%, 40대 53%, 50대 2%",,스토리가 탄탄하고 상상력을 자극하는 영화,1379
여자,,,,"감독 이윤기, 이대연, 김미성, 김혜옥, 김지수",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
칸,0.0,,,"감독 리들리 스콧, 덴젤 워싱턴, 러셀 크로우",배우연기가 메소드급인 스트레스가 해소되는 영화,248
현,91.0,,"연령별예매 분포: 10대 1%, 20대 37%, 30대 38%, 40대 20%, 50대 5%","감독 벤 스틸러, 캐서린 한, 패튼 오스왈트, 크리스틴 위그, 숀 펜",영상미가 뛰어나고 감동적인 영화,0
교차로,0.0,,,,배우연기가 메소드급인 몰입하여 보게 되는 영화,1
오래된 정원,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 임상수, 염정아, 윤희석, 지진희, 반효정",스토리가 탄탄하고 몰입하여 보게 되는 영화,89
디 엔드,99.0,,,감독 레이첼 리어스,스토리가 탄탄하고 공감되는 영화,3
수면의 과학,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 미셸 공드리, 장-마이클 버나드, 이니고 레지, 엠마 드 칸니스, 스테판 메츠거",배우연기가 메소드급인 몰입하여 보게 되는 영화,16
라이언,68.0,"성별예매 분포: 남 47%, 여 53%","연령별예매 분포: 10대 1%, 20대 26%, 30대 33%, 40대 30%, 50대 10%","감독 케네스 브래너, 케네스 브래너, 크리스 파인, 키이라 나이틀리, 케빈 코스트너",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
연애사진,0.0,,,"감독 츠츠미 유키히코, 마츠다 류헤이, 히로스에 료코",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
위대한 탄생,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 캐서린 하드윅, 쇼레 아그다쉬루, 케이샤 캐슬-휴즈, 히암 압바스",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
라이징,0.0,,,"감독 피터 웨버, 가스파르 울리엘, 공리",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
허브,0.0,,,"감독 허인무, 정경호, 강혜정, 배종옥",배우연기가 메소드급인 몰입하여 보게 되는 영화,616
여고괴담 두번째 이야기,,"성별예매 분포: 남 35%, 여 65%","연령별예매 분포: 10대 3%, 20대 60%, 30대 24%, 40대 8%, 50대 5%","감독 김태용, 김규리, 감독 민규동",스토리가 탄탄하고 몰입하여 보게 되는 영화,5
폭스파이어,,"성별예매 분포: 남 31%, 여 69%","연령별예매 분포: 10대 1%, 20대 45%, 30대 33%, 40대 14%, 50대 6%","감독 로랑 캉테, 레이븐 애덤슨, 마들렌 비손, 케이티 코시니",배우연기가 메소드급인 스트레스가 해소되는 영화,367
언어의 정원,97.0,,"연령별예매 분포: 10대 6%, 20대 42%, 30대 24%, 40대 16%, 50대 11%","감독 신카이 마코토, 히라노 후미, 테라사키 유카, 하나자와 카나, 이리노 미유",영상미가 뛰어나고 몰입하여 보게 되는 영화,151
거북이는 의외로 빨리 헤엄친다,0.0,,,"감독 미키 사토시, 후세 에리, 시마다 큐사쿠, 누쿠미즈 요이치, 모리시타 요시유키",배우연기가 메소드급인 몰입하여 보게 되는 영화,26
감기,84.0,,,"감독 김성수, 장혁, 유해진, 김기현, 보리스 스타웃",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
죽지않아,0.0,"성별예매 분포: 남 69%, 여 31%","연령별예매 분포: 10대 0%, 20대 30%, 30대 40%, 40대 24%, 50대 6%","감독 황철민, 한은비, 차래형, 이봉규",배우연기가 메소드급인 몰입하여 보게 되는 영화,23
언니가 간다,0.0,,,"감독 김창래, 이범수, 유건, 조안, 고소영",영상미가 뛰어나고 몰입하여 보게 되는 영화,120
일 포스티노,98.0,"성별예매 분포: 남 28%, 여 72%","연령별예매 분포: 10대 0%, 20대 29%, 30대 33%, 40대 20%, 50대 17%","감독 마이클 래드포드, 필립 느와레, 마시모 트로이시",영상미가 뛰어나고 몰입하여 보게 되는 영화,820
허리케인,87.0,"성별예매 분포: 남 54%, 여 46%","연령별예매 분포: 10대 1%, 20대 25%, 30대 30%, 40대 27%, 50대 17%","감독 롭 코헨, 벤 크로스, 토비 켑벨, 매기 그레이스, 라이언 콴튼",영상미가 뛰어나고 몰입하여 보게 되는 영화,6130
대통령의 죽음,,,,"감독 가브리엘 랜지, 브라이언 볼랜드, 헨드 아요브",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
베이트,0.0,"성별예매 분포: 남 45%, 여 55%","연령별예매 분포: 10대 4%, 20대 42%, 30대 29%, 40대 21%, 50대 4%","감독 킴블 렌달, 자비에르 사무엘, 샤니 빈슨",배우연기가 메소드급인 몰입하여 보게 되는 영화,98
한니발,0.0,,,"감독 피터 웨버, 가스파르 울리엘, 공리",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
투 마더스,0.0,"성별예매 분포: 남 25%, 여 75%","연령별예매 분포: 10대 0%, 20대 51%, 30대 22%, 40대 20%, 50대 7%","감독 앤 조라 베라치드, 사비네 볼프, 카리나 플라쳇카",스토리가 탄탄하고 몰입하여 보게 되는 영화,12
줌,41.0,"성별예매 분포: 남 28%, 여 72%","연령별예매 분포: 10대 2%, 20대 60%, 30대 28%, 40대 8%, 50대 2%",,OST가 명곡인 몰입하여 보게 되는 영화,1158
아티스트 봉만대,0.0,"성별예매 분포: 남 69%, 여 31%","연령별예매 분포: 10대 1%, 20대 40%, 30대 37%, 40대 17%, 50대 6%","감독 봉만대, 봉만대, 이파니, 곽현화, 성은",배우연기가 메소드급인 몰입하여 보게 되는 영화,101
스위밍 풀,0.0,,,"감독 프랑수아 오종, 샬롯 램플링, 장 마리 라무르, 루디빈 사니에, 마크 파욜",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
맘,94.0,"성별예매 분포: 남 53%, 여 47%","연령별예매 분포: 10대 4%, 20대 23%, 30대 26%, 40대 14%, 50대 19%","안나 마냐니, 감독 피에르 파올로 파졸리니",배우연기가 메소드급인 몰입하여 보게 되는 영화,83
탕기,,"성별예매 분포: 남 100%, 여 0%","연령별예매 분포: 10대 0%, 20대 100%, 30대 0%, 40대 0%, 50대 0%",,,0
스파이,92.0,,,"감독 샘 레이미, 커스틴 던스트, 토비 매과이어",영상미가 뛰어나고 몰입하여 보게 되는 영화,1264
첫키스만 50번째,0.0,"성별예매 분포: 남 40%, 여 60%","연령별예매 분포: 10대 3%, 20대 43%, 30대 40%, 40대 5%, 50대 10%","감독 피터 시걸, 드류 배리모어, 롭 슈나이더, 댄 애크로이드, 숀 애스틴",배우연기가 메소드급인 감동적인 영화,118
묵공,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 장지량, 안성기, 최시원, 왕즈웬, 판빙빙",배우연기가 메소드급인 몰입하여 보게 되는 영화,139
글루미 선데이,98.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 0%, 20대 25%, 30대 33%, 40대 20%, 50대 22%","에리카 마로잔, 스테파노 디오니시, 벤 베커, 조아킴 크롤",OST가 명곡인 몰입하여 보게 되는 영화,292
드리프트,95.0,"성별예매 분포: 남 34%, 여 66%","연령별예매 분포: 10대 2%, 20대 28%, 30대 31%, 40대 22%, 50대 18%","감독 발타자르 코루마쿠르, 샘 클라플린, 쉐일린 우들리",배우연기가 메소드급인 몰입하여 보게 되는 영화,2305
숏버스,0.0,,,"감독 존 카메론 미첼, 요론다 로스, 린지 비미시, 이숙인",OST가 명곡인 몰입하여 보게 되는 영화,0
에라곤,0.0,,,"감독 스테펜 팡마이어, 로버트 칼라일, 시에나 길로리, 존 말코비치, 제레미 아이언스",영상미가 뛰어나고 몰입하여 보게 되는 영화,0
악의교전,0.0,"성별예매 분포: 남 64%, 여 36%","연령별예매 분포: 10대 5%, 20대 31%, 30대 40%, 40대 18%, 50대 7%","감독 미이케 다카시, 후키코시 미츠루, 이토 히데아키, 히라 타케히로, 하야시 켄토, 니카이도 후미",배우연기가 메소드급인 몰입하여 보게 되는 영화,21
미스체인지,0.0,"성별예매 분포: 남 64%, 여 36%","연령별예매 분포: 10대 0%, 20대 24%, 30대 44%, 40대 27%, 50대 5%","감독 정초신, 신유주, 정은우, 송삼동",배우연기가 메소드급인 몰입하여 보게 되는 영화,52
잡스,63.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 1%, 20대 35%, 30대 38%, 40대 20%, 50대 5%","감독 조슈아 마이클 스턴, 조시 게드, 애쉬튼 커쳐, 더모트 멀로니",배우연기가 메소드급인 몰입하여 보게 되는 영화,3412
암살자,86.0,,"연령별예매 분포: 10대 0%, 20대 40%, 30대 38%, 40대 16%, 50대 6%","감독 드니 빌뇌브, 에밀리 블런트, 베니시오 델 토로, 조슈 브롤린",배우연기가 메소드급인 몰입하여 보게 되는 영화,8763
킬링시즌,0.0,"성별예매 분포: 남 62%, 여 38%","연령별예매 분포: 10대 1%, 20대 23%, 30대 31%, 40대 31%, 50대 14%","감독 마크 스티븐 존슨, 존 트라볼타, 로버트 드 니로",배우연기가 메소드급인 몰입하여 보게 되는 영화,144
낚시,,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 라세 할스트롬, 에밀리 블런트, 이완 맥그리거, 크리스틴 스콧 토마스",배우연기가 메소드급인 몰입하여 보게 되는 영화,5
스크랩 헤븐,0.0,,,"오다기리 죠, 미즈키 카오루, 스즈키 사와, 야마다 타츠오, 단 지로",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
업사이드다운,0.0,"성별예매 분포: 남 49%, 여 51%","연령별예매 분포: 10대 3%, 20대 36%, 30대 36%, 40대 21%, 50대 4%","감독 후안 디에고 솔라나스, 짐 스터게스, 커스틴 던스트",영상미가 뛰어나고 감동적인 영화,1464
나루토-대흥분! 초승달 섬의 애니멀 소동,0.0,"성별예매 분포: 남 33%, 여 67%","연령별예매 분포: 10대 1%, 20대 9%, 30대 27%, 40대 63%, 50대 0%",감독 츠루 토시유키,스토리가 탄탄하고 몰입하여 보게 되는 영화,39
진,0.0,,,"감독 츠츠미 유키히코, 마츠다 류헤이, 히로스에 료코",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
메이지가 알고 있었던 일,0.0,"성별예매 분포: 남 26%, 여 74%","연령별예매 분포: 10대 1%, 20대 59%, 30대 27%, 40대 9%, 50대 4%","감독 스콧 맥게히, 알렉산더 스카스가드, 줄리안 무어, 감독 데이빗 시겔",배우연기가 메소드급인 몰입하여 보게 되는 영화,22
테이킹 라이브즈,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 D.J. 카루소, 안젤리나 졸리, 에단 호크, 키퍼 서덜랜드, 올리비에 마르티네즈",스토리가 탄탄하고 몰입하여 보게 되는 영화,0
쇼핑,,,,,,0
콜드 워,94.0,"성별예매 분포: 남 38%, 여 62%","연령별예매 분포: 10대 1%, 20대 28%, 30대 33%, 40대 20%, 50대 18%","감독 파벨 포리코브스키, 잔느 발리바, 토마즈 코트, 요안나 쿨릭, 아가타 쿠레샤",OST가 명곡인 감동적인 영화,2884
바람이 분다,,,,,,0
짓,0.0,,,"감독 비반 키드론, 휴 그랜트, 젬마 존스, 르네 젤위거, 짐 브로드벤트",배우연기가 메소드급인 감동적인 영화,525
퍼펙트,0.0,,,"감독 로버트 루케틱, 제니퍼 로페즈, 아담 스콧, 제인 폰다, 완다 사이키스",배우연기가 메소드급인 몰입하여 보게 되는 영화,52
블러드 다이아몬드,0.0,,,"제니퍼 코넬리, 레오나르도 디카프리오",배우연기가 메소드급인 몰입하여 보게 되는 영화,0
뫼비우스,0.0,"성별예매 분포: 남 17%, 여 83%","연령별예매 분포: 10대 2%, 20대 24%, 30대 71%, 40대 3%, 50대 1%","서태지, 감독 서태지",배우연기가 메소드급인 몰입하여 보게 되는 영화,25
허니와 클로버,0.0,"성별예매 분포: 남 0%, 여 0%","연령별예매 분포: 10대 0%, 20대 0%, 30대 0%, 40대 0%, 50대 0%","감독 타카다 마사히로, 사쿠라이 쇼, 아오이 유우",배우연기가 메소드급인 공감되는 영화,0
만지,91.0,,,"감독 제이크 캐스단, 잭 블랙, 카렌 길런, 케빈 하트, 드웨인 존슨",,0
핑퐁,,,,"감독 닝 하오, 바데마, 겔리반, 다와",배우연기가 메소드급인 몰입하여 보게 되는 영화,2
해외단편,,,,,영상미가 뛰어나고 몰입하여 보게 되는 영화,3
미스 포터,0.0,,,"감독 크리스 누난, 르네 젤위거, 이완 맥그리거",스토리가 탄탄하고 몰입하여 보게 되는 영화,0
컨저링,90.0,"성별예매 분포: 남 50%, 여 50%","연령별예매 분포: 10대 12%, 20대 44%, 30대 24%, 40대 11%, 50대 6%","감독 마이클 차베스, 베라 파미가, 미아 톰린슨, 벤 하디, 패트릭 윌슨",배우연기가 메소드급인 몰입하여 보게 되는 영화,1540
